Latitude,Longitude,statename
32.6010112,-86.6807365,Alabama
61.3025006,-158.7750198,Alaska
34.1682185,-111.930907,Arizona
34.7519275,-92.1313784,Arkansas
37.2718745,-119.2704153,California
38.9979339,-105.550567,Colorado
41.5187835,-72.757507,Connecticut
39.145251,-75.4189206,Delaware
38.8993487,-77.0145666,District of Columbia
27.9757279,-83.8330166,Florida
32.6781248,-83.2229757,Georgia
20.46,-157.505,Hawaii
45.4945756,-114.1424303,Idaho
39.739318,-89.504139,Illinois
39.7662195,-86.441277,Indiana
41.9383166,-93.389798,Iowa
38.4987789,-98.3200779,Kansas
37.8222935,-85.7682399,Kentucky
30.9733766,-91.4299097,Louisiana
45.2185133,-69.0148656,Maine
38.8063524,-77.2684162,Maryland
42.0629398,-71.718067,Massachusetts
44.9435598,-86.4158049,Michigan
46.4418595,-93.3655146,Minnesota
32.5851062,-89.8772196,Mississippi
38.3046615,-92.437099,Missouri
46.6797995,-110.044783,Montana
41.5008195,-99.680902,Nebraska
38.502032,-117.0230604,Nevada
44.0012306,-71.5799231,New Hampshire
40.1430058,-74.7311156,New Jersey
34.1662325,-106.0260685,New Mexico
40.7056258,-73.97968,New York
35.2145629,-79.8912675,North Carolina
47.4678819,-100.3022655,North Dakota
40.1903624,-82.6692525,Ohio
35.3097654,-98.7165585,Oklahoma
44.1419049,-120.5380993,Oregon
40.9945928,-77.6046984,Pennsylvania
41.5827282,-71.5064508,Rhode Island
33.62505,-80.9470381,South Carolina
44.2126995,-100.2471641,South Dakota
35.830521,-85.9785989,Tennessee
31.1693363,-100.0768425,Texas
39.4997605,-111.547028,Utah
43.8717545,-72.4477828,Vermont
38.0033855,-79.4587861,Virginia
38.8993487,-77.0145665,Washington
38.9201705,-80.1816905,West Virginia
44.7862968,-89.8267049,Wisconsin
43.000325,-107.5545669,Wyoming